P_Sox2	3	+	34650405	34650405	+
P_Etl4	2	+	20519000	20519791	+
P_Cbfa2t2	2	+	154436000	154436481	+
P_Mcl1	3	+	95658788	95658788	+
P_Macf1	4	-	123684000	123684360	-
P_Med13l	5	+	118561000	118560739	+
P_Sall1	8	-	89054000	89044162	-
P_Tet1	10	-	62880000	62880014	-
P_Ranbp17	11	-	33514000	33513746	-
P_Esrrb	12	+	86470000	86470117	+
P_Nanog	6	+	122707489	122707489	+
P_Pou5f1	17	+	35506018	35506018	+
P_Mtcl1	17	-	66450000	66449750	-
P_Ddx11	17	-	66133500	66123520	+
P_Ankrd12	17	-	66077000	66077046	-
P_Myb	10	-	21161000	21160984	-
P_Pias3	3	+	96696000	96696384	+
P_Fn1	1	-	71653000	71653161	-
P_Tcfcp2l1	1	+	118628000	118627946	+
P_Smg7	1	-	152902500	152902622	-
P_Lamc1	1	-	153333000	153332786	-
P_Enah	1	-	182020000	182019990	-
P_Srxn1	2	+	152105524	152105524	+
P_Mybl2	2	+	163054500	163054687	+
P_Epha2	4	+	141301000	141301240	+
P_Ski	4	-	151223000	155222535	-
P_Klf3	5	+	64803000	64803388	+
P_Srrm4os	5	+	116438000	116438720	+
P_Zfp638	6	+	83914000	83914367	+
P_Cd9	6	-	125495000	125494791	-
P_Abhd17c	7	-	84152000	84151893	-
P_Trim71	9	-	114564300	114564369	-
P_Senp3	11	-	69682084	69682084	-
P_Mycn	12	-	12941914	12941914	-
P_Lncenc1	13	+	97482701	97482701	+
P_Hes1	16	+	30065340	30065340	+
P_Rrp1b	17	+	32036412	32036100	+
P_Gabbr1	17	+	37046000	37046028	+
P_Zfp57	17	+	37002525	37002525	+
P_Ccnd3	17	+	47593470	47593470	+
P_Bysl	17	-	47611492	47611492	-
P_Csnk1a1	18	+	61555274	61555274	+
P_Neat1	19	-	5845478	5845478	-
P_Klf9	19	+	23141226	23141226	+
