E_Sox2	chr3	34754000	34764000	-
P_Sox2	chr3	34650405	34660405	+
E1_Etl4	chr2	20648000	20658000	-
E2_Etl4	chr2	20666000	20676000	-
P_Etl4	chr2	20519000	20529000	+
E_Cbfa2t2	chr2	154419000	154429000	-
P_Cbfa2t2	chr2	154436000	154446000	+
E1_Mcl1	chr3	95645000	95655000	+
E2_Mcl1	chr3	95697000	95707000	-
P_Mcl1	chr3	95658788	95668788	+
E_Macf1	chr4	123662000	123672000	+
P_Macf1	chr4	123674000	123684000	-
E_Med13l	chr5	118434000	118450000	+
P_Med13l	chr5	118561000	118571000	+
E_mir290	chr7	3200000	3215000	-
P_mir290	chr7	3217000	3225000	+
E_Sall1	chr8	89002000	89016000	-
P_Sall1	chr8	89044000	89054000	-
E_Tet1	chr10	62890000	62900000	+
P_Tet1	chr10	62870000	62880000	-
E_Ranbp17	chr11	33533000	33546000	+
P_Ranbp17	chr11	33504000	33514000	-
E_Esrrb	chr12	86497000	86507000	-
P_Esrrb	chr12	86470000	86480000	+
E_Nanog	chr6	122697000	122707000	+
P_Nanog	chr6	122707489	122717489	+
E1_Pou5f1	chr17	35495000	35505000	+
E2_Pou5f1	chr17	35484000	35494000	-
P_Pou5f1	chr17	35506018	35510772	+
E_Mtcl1	chr17	66477500	66487500	-
P_Mtcl1	chr17	66440000	66450000	-
P_Ddx11	chr17	66123500	66133500	+
P_Ankrd12	chr17	66067000	66077000	-
E_Myb	chr10	21097000	21107000	+
P_Myb	chr10	21151000	21161000	-
E_Pias3	chr3	96673000	96683000	-
P_Pias3	chr3	96696000	96706000	+
E_Fn1	chr1	72212000	72222000	+
P_Fn1	chr1	71643000	71653000	-
E_Tcfcp2l1	chr1	119070000	119080000	+
P_Tcfcp2l1	chr1	118628000	118638000	+
E_Smg7	chr1	153090000	153100000	-
P_Smg7	chr1	152892500	152902500	-
P_Lamc1	chr1	153323000	153333000	-
E_Enah	chr1	182026000	182036000	+
P_Enah	chr1	182010000	182020000	-
E_Srxn1	chr2	152175000	152185000	-
P_Srxn1	chr2	152105524	152115524	+
E_Mybl2	chr2	163027000	163037000	-
P_Mybl2	chr2	163054500	163064500	+
E_Epha2	chr4	141282000	141292000	+
P_Epha2	chr4	141301000	141311000	+
E1_Ski	chr4	151172000	151182000	+
E2_Ski	chr4	151185000	151195000	+
P_Ski	chr4	151213000	151223000	-
E_Klf3	chr5	64859000	64869000	+
P_Klf3	chr5	64803000	64813000	+
E_Srrm4os	chr5	116404000	116414000	+
P_Srrm4os	chr5	116438000	116448000	+
E_Zfp638	chr6	83887000	83897000	+
P_Zfp638	chr6	83914000	83924000	+
E1_Cd9	chr6	125407000	125417000	+
E2_Cd9	chr6	125417000	125427000	+
E3_Cd9	chr6	125427000	125437000	+
P_Cd9	chr6	125485000	125495000	-
E_Abhd17c	chr7	83877000	83887000	+
P_Abhd17c	chr7	84142000	84152000	-
E_Trim71	chr9	114497289	114506136	-
P_Trim71	chr9	114556300	114564300	-
E_Sox15	chr11	69700000	69712000	+
P_Senp3	chr11	69673121	69682084	-
E_Mycn	chr12	12780000	12790000	-
P_Mycn	chr12	12936093	12941914	-
E_Lncenc1	chr13	97430000	97440000	+
P_Lncenc1	chr13	97482701	97492700	+
E_Hes1	chr16	29676000	29686000	+
P_Hes1	chr16	30065340	30075340	+
E_Rrp1b	chr17	31803000	31813000	-
P_Rrp1b	chr17	32036412	32046412	+
E_Gabbr1	chr17	37076000	37083310	+
P_Gabbr1	chr17	37046000	37056000	+
P_Zfp57	chr17	37002525	37010632	+
E_Ccnd3	chr17	47507000	47517000	-
P_Ccnd3	chr17	47593470	47599689	+
P_Bysl	chr17	47601492	47611492	-
E_Csnk1a1	chr18	61620000	61630000	+
P_Csnk1a1	chr18	61555274	61565274	+
E_Neat1	chr19	5802500	5812500	+
P_Neat1	chr19	5835478	5845478	-
E2_Klf9	chr19	23086000	23096000	+
E1_Klf9	chr19	23129000	23139000	+
P_Klf9	chr19	23141226	23151226	+
